frame_number,box_x,box_y,box_w,box_h,conf,label,user_id,region
22,271,551,128,275,0.8670819,person,2,
22,1462,483,111,275,0.80846524,person,3,
22,1548,565,160,291,0.87554365,person,4,
22,334,559,107,241,0.8484474,person,5,
22,1200,251,73,114,0.6531207,person,6,
22,94,636,153,289,0.80965626,person,7,
22,500,501,116,319,0.7361388,person,8,entrance
22,180,557,99,239,0.7594758,person,9,
22,1763,540,100,220,0.8131359,person,11,
22,406,537,99,253,0.7336027,person,12,
22,1260,399,88,231,0.7471053,person,13,atm
22,1635,356,147,183,0.53690445,person,15,
23,1151,402,100,265,0.85637355,person,1,atm
23,271,551,128,275,0.86980355,person,2,
23,1461,479,107,276,0.7970542,person,3,
23,1543,561,157,298,0.8379938,person,4,
23,334,559,106,241,0.8447037,person,5,
23,1201,250,73,112,0.7188101,person,6,
23,94,636,153,291,0.81298035,person,7,
23,500,502,117,319,0.7413812,person,8,entrance
23,181,558,100,238,0.7505463,person,9,
23,1752,538,97,219,0.6533323,person,11,
23,407,537,97,253,0.7497054,person,12,
23,1258,398,88,233,0.77536577,person,13,atm
23,1638,352,140,174,0.24303006,person,15,
24,1143,401,106,265,0.776408,person,1,atm
24,271,551,127,275,0.8678099,person,2,
24,1460,477,107,278,0.72925526,person,3,
24,1540,561,157,296,0.87384826,person,4,
24,334,559,106,240,0.8363364,person,5,
24,1202,249,72,111,0.6743496,person,6,
24,93,635,153,291,0.8152903,person,7,
24,500,502,115,318,0.73642194,person,8,entrance
24,181,558,100,238,0.7488764,person,9,
24,1742,536,101,218,0.7396368,person,11,
24,407,537,96,252,0.75341886,person,12,
24,1257,397,89,235,0.8104095,person,13,atm
24,1635,346,127,163,0.45234707,person,15,
25,1139,400,107,264,0.81809795,person,1,atm
25,271,551,127,276,0.8689364,person,2,
25,1459,470,99,250,0.71631444,person,3,
25,1538,558,154,297,0.81723136,person,4,
25,334,559,105,240,0.8297483,person,5,
25,1202,246,71,105,0.6180548,person,6,
25,93,635,153,291,0.81734973,person,7,
25,499,502,114,318,0.74102765,person,8,entrance
25,181,558,101,238,0.7586681,person,9,
25,1732,534,113,216,0.7775031,person,11,
25,407,538,95,251,0.7477008,person,12,
25,1254,394,88,235,0.7630113,person,13,atm
25,1629,341,107,155,0.5269352,person,15,
