frame_number,frame_time
58,2024/5/22 Wednesday 0:0:2
59,2024/5/22 Wednesday 0:0:2
60,2024/5/22 Wednesday 0:0:2
61,2024/5/22 Wednesday 0:0:2
62,2024/5/22 Wednesday 0:0:2
63,2024/5/22 Wednesday 0:0:2
64,2024/5/22 Wednesday 0:0:2
65,2024/5/22 Wednesday 0:0:2
66,2024/5/22 Wednesday 0:0:2
67,2024/5/22 Wednesday 0:0:2
68,2024/5/22 Wednesday 0:0:2
69,2024/5/22 Wednesday 0:0:2
70,2024/5/22 Wednesday 0:0:2
71,2024/5/22 Wednesday 0:0:2
72,2024/5/22 Wednesday 0:0:2
73,2024/5/22 Wednesday 0:0:2
74,2024/5/22 Wednesday 0:0:2
75,2024/5/22 Wednesday 0:0:3
76,2024/5/22 Wednesday 0:0:3
77,2024/5/22 Wednesday 0:0:3
78,2024/5/22 Wednesday 0:0:3
79,2024/5/22 Wednesday 0:0:3
80,2024/5/22 Wednesday 0:0:3
81,2024/5/22 Wednesday 0:0:3
82,2024/5/22 Wednesday 0:0:3
83,2024/5/22 Wednesday 0:0:3
84,2024/5/22 Wednesday 0:0:3
85,2024/5/22 Wednesday 0:0:3
86,2024/5/22 Wednesday 0:0:3
87,2024/5/22 Wednesday 0:0:3
88,2024/5/22 Wednesday 0:0:3
89,2024/5/22 Wednesday 0:0:3
90,2024/5/22 Wednesday 0:0:3
91,2024/5/22 Wednesday 0:0:3
92,2024/5/22 Wednesday 0:0:3
93,2024/5/22 Wednesday 0:0:3
94,2024/5/22 Wednesday 0:0:3
95,2024/5/22 Wednesday 0:0:3
96,2024/5/22 Wednesday 0:0:3
97,2024/5/22 Wednesday 0:0:3
98,2024/5/22 Wednesday 0:0:3
99,2024/5/22 Wednesday 0:0:3
100,2024/5/22 Wednesday 0:0:4
101,2024/5/22 Wednesday 0:0:4
102,2024/5/22 Wednesday 0:0:4
103,2024/5/22 Wednesday 0:0:4
104,2024/5/22 Wednesday 0:0:4
105,2024/5/22 Wednesday 0:0:4
106,2024/5/22 Wednesday 0:0:4
107,2024/5/22 Wednesday 0:0:4
108,2024/5/22 Wednesday 0:0:4
109,2024/5/22 Wednesday 0:0:4
110,2024/5/22 Wednesday 0:0:4
111,2024/5/22 Wednesday 0:0:4
112,2024/5/22 Wednesday 0:0:4
113,2024/5/22 Wednesday 0:0:4
114,2024/5/22 Wednesday 0:0:4
115,2024/5/22 Wednesday 0:0:4
116,2024/5/22 Wednesday 0:0:4
117,2024/5/22 Wednesday 0:0:4
118,2024/5/22 Wednesday 0:0:4
119,2024/5/22 Wednesday 0:0:4
120,2024/5/22 Wednesday 0:0:4
121,2024/5/22 Wednesday 0:0:4
122,2024/5/22 Wednesday 0:0:4
123,2024/5/22 Wednesday 0:0:4
124,2024/5/22 Wednesday 0:0:4
125,2024/5/22 Wednesday 0:0:5
126,2024/5/22 Wednesday 0:0:5
127,2024/5/22 Wednesday 0:0:5
128,2024/5/22 Wednesday 0:0:5
129,2024/5/22 Wednesday 0:0:5
130,2024/5/22 Wednesday 0:0:5
131,2024/5/22 Wednesday 0:0:5
132,2024/5/22 Wednesday 0:0:5
133,2024/5/22 Wednesday 0:0:5
134,2024/5/22 Wednesday 0:0:5
135,2024/5/22 Wednesday 0:0:5
136,2024/5/22 Wednesday 0:0:5
137,2024/5/22 Wednesday 0:0:5
138,2024/5/22 Wednesday 0:0:5
139,2024/5/22 Wednesday 0:0:5
140,2024/5/22 Wednesday 0:0:5
141,2024/5/22 Wednesday 0:0:5
142,2024/5/22 Wednesday 0:0:5
143,2024/5/22 Wednesday 0:0:5
144,2024/5/22 Wednesday 0:0:5
145,2024/5/22 Wednesday 0:0:5
146,2024/5/22 Wednesday 0:0:5
147,2024/5/22 Wednesday 0:0:5
148,2024/5/22 Wednesday 0:0:5
149,2024/5/22 Wednesday 0:0:5
150,2024/5/22 Wednesday 0:0:6
151,2024/5/22 Wednesday 0:0:6
152,2024/5/22 Wednesday 0:0:6
153,2024/5/22 Wednesday 0:0:6
154,2024/5/22 Wednesday 0:0:6
155,2024/5/22 Wednesday 0:0:6
156,2024/5/22 Wednesday 0:0:6
157,2024/5/22 Wednesday 0:0:6
158,2024/5/22 Wednesday 0:0:6
159,2024/5/22 Wednesday 0:0:6
160,2024/5/22 Wednesday 0:0:6
161,2024/5/22 Wednesday 0:0:6
162,2024/5/22 Wednesday 0:0:6
163,2024/5/22 Wednesday 0:0:6
164,2024/5/22 Wednesday 0:0:6
165,2024/5/22 Wednesday 0:0:6
166,2024/5/22 Wednesday 0:0:6
167,2024/5/22 Wednesday 0:0:6
168,2024/5/22 Wednesday 0:0:6
169,2024/5/22 Wednesday 0:0:6
170,2024/5/22 Wednesday 0:0:6
171,2024/5/22 Wednesday 0:0:6
172,2024/5/22 Wednesday 0:0:6
173,2024/5/22 Wednesday 0:0:6
174,2024/5/22 Wednesday 0:0:6
175,2024/5/22 Wednesday 0:0:7
176,2024/5/22 Wednesday 0:0:7
177,2024/5/22 Wednesday 0:0:7
178,2024/5/22 Wednesday 0:0:7
179,2024/5/22 Wednesday 0:0:7
180,2024/5/22 Wednesday 0:0:7
181,2024/5/22 Wednesday 0:0:7
182,2024/5/22 Wednesday 0:0:7
183,2024/5/22 Wednesday 0:0:7
184,2024/5/22 Wednesday 0:0:7
185,2024/5/22 Wednesday 0:0:7
186,2024/5/22 Wednesday 0:0:7
187,2024/5/22 Wednesday 0:0:7
188,2024/5/22 Wednesday 0:0:7
189,2024/5/22 Wednesday 0:0:7
190,2024/5/22 Wednesday 0:0:7
191,2024/5/22 Wednesday 0:0:7
192,2024/5/22 Wednesday 0:0:7
193,2024/5/22 Wednesday 0:0:7
194,2024/5/22 Wednesday 0:0:7
195,2024/5/22 Wednesday 0:0:7
196,2024/5/22 Wednesday 0:0:7
197,2024/5/22 Wednesday 0:0:7
198,2024/5/22 Wednesday 0:0:7
199,2024/5/22 Wednesday 0:0:7
200,2024/5/22 Wednesday 0:0:8
201,2024/5/22 Wednesday 0:0:8
202,2024/5/22 Wednesday 0:0:8
203,2024/5/22 Wednesday 0:0:8
204,2024/5/22 Wednesday 0:0:8
205,2024/5/22 Wednesday 0:0:8
206,2024/5/22 Wednesday 0:0:8
207,2024/5/22 Wednesday 0:0:8
208,2024/5/22 Wednesday 0:0:8
209,2024/5/22 Wednesday 0:0:8
210,2024/5/22 Wednesday 0:0:8
211,2024/5/22 Wednesday 0:0:8
212,2024/5/22 Wednesday 0:0:8
213,2024/5/22 Wednesday 0:0:8
214,2024/5/22 Wednesday 0:0:8
215,2024/5/22 Wednesday 0:0:8
216,2024/5/22 Wednesday 0:0:8
217,2024/5/22 Wednesday 0:0:8
218,2024/5/22 Wednesday 0:0:8
219,2024/5/22 Wednesday 0:0:8
220,2024/5/22 Wednesday 0:0:8
221,2024/5/22 Wednesday 0:0:8
222,2024/5/22 Wednesday 0:0:8
223,2024/5/22 Wednesday 0:0:8
224,2024/5/22 Wednesday 0:0:8
225,2024/5/22 Wednesday 0:0:9
226,2024/5/22 Wednesday 0:0:9
227,2024/5/22 Wednesday 0:0:9
228,2024/5/22 Wednesday 0:0:9
229,2024/5/22 Wednesday 0:0:9
230,2024/5/22 Wednesday 0:0:9
231,2024/5/22 Wednesday 0:0:9
232,2024/5/22 Wednesday 0:0:9
233,2024/5/22 Wednesday 0:0:9
234,2024/5/22 Wednesday 0:0:9
235,2024/5/22 Wednesday 0:0:9
236,2024/5/22 Wednesday 0:0:9
237,2024/5/22 Wednesday 0:0:9
238,2024/5/22 Wednesday 0:0:9
239,2024/5/22 Wednesday 0:0:9
240,2024/5/22 Wednesday 0:0:9
241,2024/5/22 Wednesday 0:0:9
242,2024/5/22 Wednesday 0:0:9
243,2024/5/22 Wednesday 0:0:9
244,2024/5/22 Wednesday 0:0:9
245,2024/5/22 Wednesday 0:0:9
246,2024/5/22 Wednesday 0:0:9
247,2024/5/22 Wednesday 0:0:9
248,2024/5/22 Wednesday 0:0:9
249,2024/5/22 Wednesday 0:0:9
250,2024/5/22 Wednesday 0:0:10
251,2024/5/22 Wednesday 0:0:10
252,2024/5/22 Wednesday 0:0:10
253,2024/5/22 Wednesday 0:0:10
254,2024/5/22 Wednesday 0:0:10
255,2024/5/22 Wednesday 0:0:10
256,2024/5/22 Wednesday 0:0:10
257,2024/5/22 Wednesday 0:0:10
258,2024/5/22 Wednesday 0:0:10
259,2024/5/22 Wednesday 0:0:10
260,2024/5/22 Wednesday 0:0:10
261,2024/5/22 Wednesday 0:0:10
262,2024/5/22 Wednesday 0:0:10
263,2024/5/22 Wednesday 0:0:10
264,2024/5/22 Wednesday 0:0:10
265,2024/5/22 Wednesday 0:0:10
266,2024/5/22 Wednesday 0:0:10
267,2024/5/22 Wednesday 0:0:10
268,2024/5/22 Wednesday 0:0:10
269,2024/5/22 Wednesday 0:0:10
270,2024/5/22 Wednesday 0:0:10
271,2024/5/22 Wednesday 0:0:10
272,2024/5/22 Wednesday 0:0:10
273,2024/5/22 Wednesday 0:0:10
274,2024/5/22 Wednesday 0:0:10
275,2024/5/22 Wednesday 0:0:11
276,2024/5/22 Wednesday 0:0:11
