frame_number,region_name,people_count
369,entrance,3
370,atm,0
370,entrance,3
371,atm,0
371,entrance,3
372,atm,0
372,entrance,3
373,atm,0
373,entrance,3
374,atm,0
374,entrance,3
